A	‚™	‚˜	relative	coeff	instrument
55	158	246.61	1.68E+08	1.52976	4.50973
56	127	246.318	1.55E+08	1.65806	4.46034
58	96	250.561	6.98E+07	3.68195	4.443
60	81	245.934	5.76E+07	4.46181	4.45022
61	66	246.547	9.48E+07	2.71097	4.31048
62	51	248.259	5.18E+07	4.96139	4.43289
64	991	399.596	8.15E+07	3.15337	5.79764
65	977	396.779	1.20E+08	2.14167	5.70343
66	961	397.548	1.41E+08	1.8227	5.83786
67	946	398.154	1.60E+08	1.60625	5.74145
68	932	398.106	1.39E+08	1.84892	5.63098
69	901	395.763	1.80E+08	1.42778	5.5628
70	886	395.782	1.60E+08	1.60625	5.83993
71	870	394.072	2.03E+08	1.26601	5.54096
72	855	394.618	1.38E+08	1.86232	5.70357
73	840	395.085	1.79E+08	1.43575	5.55709
