CH	Y	X	relative	coeff	instrument
84	675	390.645	1.27E+08	2.02362	3.77743
85	660	390.183	1.68E+08	1.52976	3.88867
86	646	389.957	1.66E+08	1.54819	3.95197
87	630	389.858	1.68E+08	1.52976	3.77547
88	616	389.153	1.28E+08	2.00781	3.87947
89	600	389.607	1.80E+08	1.42778	3.6198
90	585	389.461	1.47E+08	1.7483	3.66474
91	569	388.72	1.11E+08	2.31532	3.88451
92	555	389.092	2.09E+08	1.22967	3.57152
93	540	388.676	1.66E+08	1.54819	3.68683
94	525	388.728	1.37E+08	1.87591	3.74502
95	509	388.547	8.95E+07	2.87151	4.04614
96	494	388.942	1.09E+08	2.3578	3.29091
97	479	388.287	1.29E+08	1.99225	3.43585
98	464	388.118	1.13E+08	2.27434	3.48619
99	448	387.987	1.25E+08	2.056	3.49446
100	434	387.839	1.46E+08	1.76027	3.59086
101	418	387.844	1.21E+08	2.12397	3.49887
102	403	387.47	1.19E+08	2.15966	3.44957
103	372	387.866	9.40E+07	2.73404	3.47095
104	357	387.798	1.10E+08	2.33636	3.3365
105	342	387.74	1.19E+08	2.15966	3.34017
106	327	387.412	1.08E+08	2.37963	3.57684
107	312	387.328	1.39E+08	1.84892	3.57189
108	297	387.288	8.53E+07	3.0129	3.39457
109	282	387.265	1.11E+08	2.31532	3.45683
110	267	387.584	6.82E+07	3.76833	3.5185
111	251	387.172	6.51E+07	3.94777	3.52009
112	236	387.592	4.86E+07	5.28807	3.23827
113	221	387.637	6.07E+07	4.23394	3.40202
114	190	388.033	7.33E+07	3.50614	3.45487
115	175	388.199	7.19E+07	3.57441	3.46693
116	159	388.465	4.13E+07	6.22276	3.14691
117	144	388.101	5.45E+07	4.7156	3.59375
118	129	388.498	7.59E+07	3.38603	3.40234
120	99	389.63	4.42E+07	5.81448	2.96691
121	83	389.771	3.84E+07	6.69271	3.24745
122	68	389.851	5.70E+07	4.50877	3.20255
123	53	390.377	4.54E+07	5.66079	2.94975
124	38	390.208	3.64E+07	7.06044	2.89098
125	978	536.92	1.30E+08	1.97692	4.27838
126	964	536.487	1.55E+08	1.65806	4.33281
127	949	535.838	1.53E+08	1.67974	4.31335
