CH,y,x,relative,sensitivity,instrument
99,450.000,444.193,2.77890e+07,2.84687,3.49000
100,435.000,444.162,3.13441e+07,2.52398,3.59000
101,420.000,444.037,3.38550e+07,2.33678,3.50000
102,403.000,443.949,2.97918e+07,2.65549,3.45000
103,373.000,443.702,2.77934e+07,2.84642,3.47000
104,359.000,444.619,2.61329e+07,3.02729,3.34000
105,343.000,443.872,3.26219e+07,2.42511,3.34000
106,328.000,443.935,3.51825e+07,2.24861,3.58000
107,313.000,443.549,3.38159e+07,2.33948,3.57000
108,298.000,443.124,3.87380e+07,2.04223,3.39000
109,283.000,443.345,2.78616e+07,2.83945,3.46000
110,283.000,443.345,3.93652e+07,2.00969,3.52000
111,252.000,442.100,2.98856e+07,2.64715,3.52000
112,238.000,442.480,2.25479e+07,3.50862,3.24000
113,222.000,442.530,1.98101e+07,3.99351,3.40000
114,190.000,443.509,2.64047e+07,2.99612,3.45000
115,190.000,443.509,1.98632e+07,3.98284,3.47000
116,161.000,443.040,2.33003e+07,3.39531,3.15000
117,144.000,443.646,1.68194e+07,4.70361,3.59000
118,129.000,444.430,1.73840e+07,4.55083,3.40000
120,99.0000,444.595,1.69140e+07,4.67730,2.97000
121,83.0000,444.990,3.15627e+07,2.50649,3.25000
122,67.0000,445.117,1.73096e+07,4.57041,3.20000
123,53.0000,445.058,2.43935e+07,3.24315,2.95000
124,37.0000,445.018,1.92895e+07,4.10128,2.89000
125,982.000,592.791,1.47996e+07,5.34552,4.28000
126,968.000,592.675,1.34403e+07,5.88615,4.33000
127,953.000,592.560,2.76372e+07,2.86251,4.31000
128,938.000,592.187,3.26810e+07,2.42073,4.31000
129,922.000,591.788,2.94177e+07,2.68926,4.28000
130,906.000,591.514,2.58571e+07,3.05957,4.25000
131,892.000,590.711,2.36972e+07,3.33844,4.43000
132,875.000,590.167,1.85715e+07,4.25985,4.28000
133,861.000,589.786,2.82625e+07,2.79918,4.33000
134,847.000,589.220,2.60402e+07,3.03807,4.40000
135,831.000,588.749,2.61257e+07,3.02813,4.39000
136,815.000,588.144,2.47921e+07,3.19100,4.36000
137,801.000,588.103,2.83202e+07,2.79347,4.05000
138,785.000,588.000,3.38997e+07,2.33370,4.41000
139,770.000,587.550,2.68237e+07,2.94932,4.15000
140,755.000,586.969,3.27794e+07,2.41346,4.15000
141,743.000,584.800,3.60737e+07,2.19306,4.33000
142,727.000,584.470,3.05359e+07,2.59078,4.06000
143,712.000,584.140,2.96774e+07,2.66573,4.05000
144,694.000,585.630,2.78557e+07,2.84006,4.11000
145,681.000,583.910,2.43702e+07,3.24625,4.21000
146,664.000,583.230,1.28479e+07,6.15757,4.18000
147,651.000,583.050,2.33649e+07,3.38592,4.07000
148,636.000,582.930,3.23162e+07,2.44806,3.86000
149,602.000,582.540,3.85487e+07,2.05225,3.95000
150,587.000,583.267,3.70868e+07,2.13315,4.14000
151,571.000,583.404,3.66868e+07,2.15641,3.91000
152,559.000,583.159,5.18615e+07,1.52544,3.95000
153,541.000,582.647,4.74015e+07,1.66897,3.89000
154,525.000,582.883,3.95118e+07,2.00223,3.90000
155,511.000,583.039,3.78013e+07,2.09283,3.93000
156,497.000,583.110,4.01148e+07,1.97213,3.83000
157,481.000,583.037,3.56199e+07,2.22100,3.85000
158,465.000,582.635,3.43430e+07,2.30357,3.82000
159,450.000,582.931,3.24461e+07,2.43825,3.74000
160,435.000,582.355,3.01270e+07,2.62594,3.60000
161,420.000,582.806,3.34547e+07,2.36474,3.78000
162,405.000,582.075,1.81471e+07,4.35948,3.70000
163,390.000,582.923,2.28502e+07,3.46219,3.67000
164,359.000,582.253,1.96791e+07,4.02009,3.76000
165,343.000,581.937,1.76038e+07,4.49401,3.73000
166,329.000,582.233,3.37335e+07,2.34520,3.70000
167,313.000,581.898,3.03601e+07,2.60578,3.72000
168,296.000,582.020,2.43679e+07,3.24656,3.69000
