CH	y	x	relative	sensitivity	instrument
56	131.000	216.341	5.33024e+07	1.48421	3.27000
58	101.000	217.149	4.53690e+07	1.74374	3.31000
60	86.0000	217.255	3.26336e+07	2.42424	3.11000
61	70.0000	216.680	2.51921e+07	3.14034	3.37000
62	55.0000	217.149	3.04985e+07	2.59395	3.41000
64	998.000	367.677	2.21727e+07	3.56798	4.54000
65	984.000	367.288	1.59439e+07	4.96188	4.63000
66	969.000	366.823	2.36670e+07	3.34270	4.75000
67	954.000	366.403	2.90825e+07	2.72025	4.70000
68	940.000	366.022	2.88223e+07	2.74482	4.46000
69	908.000	364.496	2.53931e+07	3.11548	4.41000
70	893.000	363.853	3.36382e+07	2.35184	4.56000
71	879.000	363.237	3.15870e+07	2.50456	4.27000
72	862.000	362.744	3.77662e+07	2.09478	4.55000
73	846.000	362.826	2.94900e+07	2.68266	4.29000
74	832.000	362.223	3.87069e+07	2.04387	4.34000
75	817.000	362.337	3.83211e+07	2.06444	4.28000
76	802.000	362.215	3.66188e+07	2.16041	4.34000
77	786.000	362.111	3.74239e+07	2.11394	4.04000
78	775.000	362.195	3.62588e+07	2.18186	4.17000
79	758.000	360.002	2.42267e+07	3.26548	3.81000
80	741.000	360.639	1.76849e+07	4.47341	4.03000
81	726.000	360.114	2.31796e+07	3.41299	4.15000
82	711.000	360.007	2.86246e+07	2.76377	3.89000
83	695.000	359.172	3.10471e+07	2.54812	4.14000
84	680.000	359.432	2.09284e+07	3.78012	3.78000
85	664.000	358.924	3.68098e+07	2.14920	3.89000
86	650.000	358.833	4.50883e+07	1.75460	3.95000
87	634.000	358.418	4.31271e+07	1.83438	3.78000
88	621.000	357.495	4.37187e+07	1.80956	3.88000
89	604.000	357.622	3.44055e+07	2.29939	3.62000
90	589.000	357.565	4.13954e+07	1.91112	3.66000
91	572.000	357.049	3.43815e+07	2.30100	3.88000
92	558.000	357.316	2.33278e+07	3.39131	3.57000
93	543.000	357.311	4.32003e+07	1.83128	3.69000
94	529.000	357.246	3.64717e+07	2.16913	3.75000
95	513.000	357.347	3.62600e+07	2.18179	4.05000
96	498.000	357.462	2.08303e+07	3.79792	3.29000
97	484.000	357.281	2.05773e+07	3.84461	3.44000
98	468.000	356.635	2.56294e+07	3.08676	3.49000
99	453.000	356.787	2.77890e+07	2.84687	3.49000
100	437.000	356.655	3.13441e+07	2.52398	3.59000
101	422.000	356.629	3.38550e+07	2.33678	3.50000
102	407.000	356.346	2.97918e+07	2.65549	3.45000
103	376.000	356.261	2.77934e+07	2.84642	3.47000
104	361.000	356.431	2.61329e+07	3.02729	3.34000
105	346.000	355.994	3.26219e+07	2.42511	3.34000
106	330.000	356.117	3.51825e+07	2.24861	3.58000
107	315.000	356.127	3.38159e+07	2.33948	3.57000
108	300.000	355.747	3.87380e+07	2.04223	3.39000
109	284.000	355.649	2.78616e+07	2.83945	3.46000
110	270.000	355.617	3.93652e+07	2.00969	3.52000
111	254.000	355.769	2.98856e+07	2.64715	3.52000
112	239.000	356.521	2.25479e+07	3.50862	3.24000
113	224.000	356.285	1.98101e+07	3.99351	3.40000
114	193.000	356.383	2.64047e+07	2.99612	3.45000
115	178.000	356.000	1.98632e+07	3.98284	3.47000
116	162.000	356.035	2.28088e+07	3.46847	3.15000
117	146.000	356.204	1.63395e+07	4.84174	3.59000
118	131.000	356.300	1.69052e+07	4.67973	3.40000
120	101.000	357.525	1.63791e+07	4.83003	2.97000
121	86.0000	357.733	2.97061e+07	2.66315	3.25000
122	70.0000	357.424	1.66573e+07	4.74938	3.20000
123	55.0000	357.591	2.43935e+07	3.24315	2.95000
124	40.0000	357.417	1.92895e+07	4.10128	2.89000
125	984.000	506.441	1.47996e+07	5.34552	4.28000
126	969.000	505.908	1.34403e+07	5.88615	4.33000
127	954.000	505.243	2.76372e+07	2.86251	4.31000
128	940.000	505.295	3.26810e+07	2.42073	4.31000
